Year,Production,Imports_Crude,Imports_Refined,New_Supply
1918,363928,37736,1227,402891
1919,388234,52822,1376,442432
1920,453861,106175,2647,562683
1921,484244,125361,3428,613036
1922,571263,130255,5719,707237
1923,754168,82015,17638,853821
1924,783378,77775,16806,832959
1925,791907,61824,16376,870107
1926,805291,60382,20938,886611
1927,942348,58383,13353,1014084
1928,946609,79767,11790,1038166
1929,1062649,78933,29777,1171359
1930,953331,62129,43489,1058949
1931,896524,47250,38837,982611
1932,822471,44682,29812,896965
1933,940834,31893,13501,986228
1934,946329,35558,14936,996823
1935,1037800,32239,20396,1090435
1936,1144959,32327,24777,1202063
1937,1331127,27484,29673,1388284
1938,1267466,26412,27896,1321774
1939,1319110,33095,25965,1378170
1940,1410257,42738,40178,1493173
1941,1402228,50606,46536,1499370
1942,1386645,12297,23669,1422611
1943,1503176,13833,49666,1567675
