name,given_name,title,country,description,gender
Kucera,Vladimir,M.,Czechoslovakia,Chief of the Cabinet of the Minister for Foreign Affairs,male
Nosek,Vladimir,M.,Czechoslovakia,Counsellor at the Ministry for Foreign Affairs,male
Radimsky,Ladislav,M.,Czechoslovakia,Ministry for Foreign Affairs,male
Havlas,Viktor,M.,Czechoslovakia,Ministry of Commerce,male
Kose,Jaroslav,M.,Czechoslovakia,Head of Department at the Ministry for Agriculture,male
Stangler,Alois,M.,Czechoslovakia,Departmental Adviser at the Ministry for Foreign Affairs,male
,Tevfik Rüştü,"S. E., Bey",Turkey,"Minister for Foreign Affairs, President of the delegation",male
,Celal,"S. E., Bey",Turkey,Minister for Economic Affairs; Vice-President of the delegation,male
,Münir,"S. E., Bey",Turkey,Ambassador in London,male
,Falih Rifki,Bey,Turkey,Member of the Great National Assembly for Bolu (Adviser),male
,Adil,Bey,Turkey,Under-Secretary of State at the Ministry of Customs and Monopolies (Adviser),male
,Salahattin,Bey,Turkey,Director-General of the Central Bank (Adviser),male
,Namik Zeki,Bey,Turkey,Financial Adviser to the Central Bank (Adviser),male
,Cezmi,Bey,Turkey,Director-General at the Ministry of Finance (Adviser),male
,Bedi,Bey,Turkey,Director-General at the Ministry for Foreign Affairs (Adviser),male
,Sami,Bey,Turkey,Chief Inspector at the Commercial Bank of Turkey (Adviser),male
Amir,Refik,Bey,Turkey,"Consul-General, Head of the Cabinet of the Minister for Foreign Affairs (Adviser)",male
Faik Kurtoglu,,Bey,Turkey,Commercial Attaché at the Turkish Embassy in London (Adviser),male
,Halit Nazmi,Bey,Turkey,Inspector of Finance (Adviser),male
,Huldi,Bey,Turkey,Commercial Bank of Turkey (Adviser),male
,Süleyman Hikmet,Bey,Turkey,Central Bank (Adviser),male
,Riza Halis,Bey,Turkey,Deputy Director of the Agricultural Bank (Adviser),male
,Muvaffak,Bey,Turkey,General Manager of the 'Anatolia' Agency (Delegate),male
,Izzettin Tugrul,Bey,Turkey,"Consul, Secretary to the delegation",male
Muvaffak,Nermin,Mlle,Turkey,Interpreter,male
Litvinov,Maxim,M.,USSR,"People’s Commissar for Foreign Affairs, President of the delegation",male
Meijak,Valérie,M.,USSR,Vice-President of the Commission for the State plan,male
Maisky,Jean,M.,USSR,Ambassador in London,male
Ozerski,Alexandre,M.,USSR,Deputy Commissary for Foreign Trade,male
Divlikovsky,Ivan,M.,USSR,Secretary-General of the delegation,male
Cahen,,M.,USSR,Expert,male
Rosenblum,Boris,M.,USSR,Expert,male
Gurevich,A.,M.,USSR,Expert,male
Simonoff,Y. G.,M.,USSR,Expert,male
Kissin,Abraham,M.,USSR,Expert,male
Kharitonov,Michel,M.,USSR,Expert,male
Litvinov,Vy,Mme,USSR,Secretary to the delegation,male
Tolokonski,Leonid,M.,USSR,In charge of Press matters,male
Cosio,Pedro,S. E. M.,Uruguay,"Envoy Extraordinary and Minister Plenipotentiary in London, appointed Minister of Finance",male
Guani,Alberto,S. E. M.,Uruguay,Envoy Extraordinary and Minister Plenipotentiary in Paris,male
Urubey,Alberto,M.,Uruguay,Substitute delegate,male
