person_id,name,given_name,gender,book_id,notes
abs_hermann_josef,Abs,Hermann Josef,male,Slobodian (2018),
acheson_dean,Acheson,Dean,male,Clavin (2015),
acheson_dean,Acheson,Dean,male,Martin (2022),
acton_lord,Acton,Lord,male,Slobodian (2018),
adams_brown_william,Adams Brown,William,male,Clavin (2015),
adams_herbert_baxter,Adams,Herbert Baxter,male,Sluga (2013),
addams_jane,Addams,Jane,female,Sluga (2013),
addis_charles,Addis,Charles,male,Martin (2022),
addison_christopher,Addison,Christopher,male,Martin (2022),
adenauer_konrad,Adenauer,Konrad,male,Slobodian (2018),
adler_felix,Adler,Felix,male,Sluga (2013),
ador_gustave,Ador,Gustave,male,Clavin (2015),
aghnides_thanassis,Aghnides,Thanassis,male,Clavin (2015),
ahmad_al_muadzam_shah,Ahmad al-Muadzam Shah,,male,Martin (2022),
albright_madeleine,Albright,Madeleine,female,Mazower (2009),
alexander_i_yugoslavia,Alexander I (Yugoslavia),,male,Martin (2022),
alexander_the_great,Alexander,the Great,male,Mazower (2009),
amery_leo,Amery,Leo,male,Mazower (2009),
anderson_benjamin,Anderson,Benjamin,male,Clavin (2015),
anderson_oskar,Anderson,Oskar,male,Slobodian (2018),
andreades_andre,Andréadès,André,male,Martin (2022),
aron_raymond,Aron,Raymond,male,Slobodian (2018),
ashbrook_john_m,Ashbrook,John M.,male,Slobodian (2018),
ashton_gwatkin_frank,Ashton-Gwatkin,Frank,male,Clavin (2015),
asquith_h_h,Asquith,H. H.,male,Martin (2022),
asser_tobias_michael,Asser,Tobias Michael,male,Sluga (2013),
attlee_clement,Attlee,Clement,male,Slobodian (2018),
augustine_saint,Augustine,Saint,male,Slobodian (2018),
avenol_joseph,Avenol,Joseph,male,Martin (2022),
avenol_joseph,Avenol,Joseph,male,Clavin (2015),
avenol_joseph,Avenol,Joseph,male,Sluga (2013),
aydelotte_frank,Aydelotte,Frank,male,Clavin (2015),
aykroyd_wallace_r,Aykroyd,Wallace R.,male,Clavin (2015),
babson_roger,Babson,Roger,male,Slobodian (2018),
baker_ray_stannard,Baker,Ray Stannard,male,Martin (2022),
balch_emily_greene,Balch,Emily Greene,female,Sluga (2013),
baldwin_james,Baldwin,James,male,Sluga (2013),
baldwin_stanley,Baldwin,Stanley,male,Clavin (2015),
balfour_sir_arthur,Balfour,Sir Arthur,male,Clavin (2015),
balfour_sir_arthur,Balfour,Sir Arthur,male,Martin (2022),
balfour_sir_arthur,Balfour,Sir Arthur,male,Mazower (2009),
balfour_sir_arthur,Balfour,Sir Arthur,male,Slobodian (2018),
balogh_thomas,Balogh,Thomas,male,Clavin (2015),
balogh_thomas,Balogh,Thomas,male,Slobodian (2018),
baring_evelyn,Baring,Evelyn,male,Martin (2022),
barros_james,Barros,James,male,Clavin (2015),
barthou_louis,Barthou,Louis,male,Clavin (2015),
baruch_bernard,Baruch,Bernard,male,Martin (2022),
baster_albert,Baster,Albert,male,Martin (2022),
bastiat_frederic,Bastiat,Frédéric,male,Slobodian (2018),
baudin_louis,Baudin,Louis,male,Slobodian (2018),
bauer_otto,Bauer,Otto,male,Slobodian (2018),
bauer_peter,Bauer,Peter,male,Slobodian (2018),
baumann_ludwig,Baumann,Ludwig,male,Slobodian (2018),
beale_louis,Beale,Louis,male,Martin (2022),
bebel_august,Bebel,August,male,Sluga (2013),
becker_gary,Becker,Gary,male,Slobodian (2018),
bedford_alfred_c,Bedford,Alfred C.,male,Slobodian (2018),
bellegarde_dantes,Bellegarde,Dantès,male,Sluga (2013),
beltran_pedro,Beltrán,Pedro,male,Slobodian (2018),
ben_gurion_david,Ben Gurion,David,male,Mazower (2009),
beneduce_alberto,Beneduce,Alberto,male,Clavin (2015),
beneduce_alberto,Beneduce,Alberto,male,Martin (2022),
bennett_richard_bradford,Bennett,Richard Bradford,male,Clavin (2015),
benson_wilfred,Benson,Wilfred,male,Sluga (2013),
bentham_jeremy,Bentham,Jeremy,male,Clavin (2015),
bentham_jeremy,Bentham,Jeremy,male,Mazower (2009),
bentham_jeremy,Bentham,Jeremy,male,Sluga (2013),
bentwich_norman_de_mattos,Bentwich,Norman de Mattos,male,Sluga (2013),
bergson_henri,Bergson,Henri,male,Sluga (2013),
berle_adolf,Berle,Adolf,male,Martin (2022),
bernadotte_folke,Bernadotte,Folke,male,Mazower (2009),
bernstein_edward,Bernstein,Edward,male,Martin (2022),
 von_bertalanffy_ludwig,vonBertalanffy,Ludwig,male,Slobodian (2018),
