source,node_id,name,level,parent_id,part,head,chapter,committee_type,topic_type,creation,purpose,character,composition,appointment,secretariat,Place of the Advisory and Technical Committee,Organs,notes,,
p. 11,C-I-S,The Supervisory Commission,committee,,I,,,Part I: Committees or Organs Concerned with the Functioning of the League itself,,"Assembly Resolution of October 4th, 1921. The Assembly subsequently adopted numerous resolutions relating to the Supervisory Commission.","Its chief duty is to examine, together with the competent official of the Organisation concerned, the draft budget and the closed accounts before these documents are communicated to Members of the League. It is called upon to advise on administrative or financial questions within its competence, as defined by the Financial Regulations, or the Staff Regulations, or referred to it for consideration by the Assembly, the Council or the competent officials.",It is composed of members appointed in an individual capacity.,Seven members - at least one of whom must be a financial expert.,,,,,,,
p. 12,C-I-AE,Committee on the Allocation of Expenses,committee,,I,,,Part I: Committees or Organs Concerned with the Functioning of the League itself,,"Resolution of the Council of the League of Nations dated October 27th, 1920","""To consider the principles on which the expenses of the League should be distributed among its Members.""","At first, the members were appointed in an individual capacity.
Later, it was decided to designate the Governments which were to be represented",The number of members has varied.,"(a) By the Assembly. (b) Appointed to recommend modifications of the allocation scale, which usually remains in force for three years.",,,,,,
p. 13,C-I-CON,Special Committee on Contributions in Arrears,committee,,I,,,Part I: Committees or Organs Concerned with the Functioning of the League itself,,"Assembly Resolution of September 27th, 1934",Examination of questions arising with regard to the collection of contributions in arrears.,Composed of members appointed in an individual capacity.,The number of members is five.,By the Assembly.,,,,,,
p. 14,C-I-DA,The Auditor and Deputy Auditor,committee,,I,,,Part I: Committees or Organs Concerned with the Functioning of the League itself,,"Assembly Resolution of September 29th, 1922. Assembly Resolution of September 26th, 1925.",Auditing of the League's accounts.,Appointed in an individual capacity.,,(a) By the Council on the proposal of the Supervisory Commission. (b) For five years.,,,,,,
p. 15,C-I-AB,Administrative Board of the Staff Pensions Fund,committee,,I,,,Part I: Committees or Organs Concerned with the Functioning of the League itself,,"Assembly Resolution of October 3rd, 1930, approving the Regulations of the Staff Pensions Fund. Article 3 of these Regulations provides for the constitution of the Administrative Board of the Staff Pensions Fund.",Administration of the Pensions Fund.,Composed of members appointed in a personal capacity.,Ten members.,(a) Three elected by the Assembly; Three elected by the officials subject to the regulations of the Fund; One representative of the Secretary-General; One representative of the International Labour Office; The Treasurer of the League of Nations; One representative of the Permanent Court of International Justice (for matters concerning the Court). (b) The elected members are appointed for three years.,,,,,,
p. 16,C-I-MAN,Board of Management of the Staff Provident Fund,committee,,I,,,Part I: Committees or Organs Concerned with the Functioning of the League itself,,"Assembly Resolution dated September 28th, 1923.",Administration of the Staff Provident Fund.,Composed of members appointed in an individual capacity.,Seven members.,(a) By the Council of the League of Nations. Two of the seven members are proposed by the participants in the Fund. (b) The members representing the Staff are appointed for two years. The others are appointed for three years.,,,,,,
p. 17,C-I-SP,Investments Committee of the Staff Pensions Fund and of the Staff Provident Fund,committee,,I,,,Part I: Committees or Organs Concerned with the Functioning of the League itself,,"Staff Pensions Regulations (Article 3 bis) approved by the Assembly of the League of Nations on October 3rd, 1930.",(a) To advise in regard to the investment of the assets of the Pensions Fund. (b) To advise in regard to the investment of the assets of the Staff Provident Fund.,Composed of members appointed in an individual capacity.,Three members.,(a) By the Financial Committee of the League of Nations subject to the approval of the Council of the League of Nations. (b) For three years.,,,,,,
p. 18,C-I-ISA,Investments Advisory Committee for the Endowment Fund of the League Library,committee,,I,,,Part I: Committees or Organs Concerned with the Functioning of the League itself,,"Assembly Resolution dated September 25th, 1929.",Approval of investments.,Composed of members appointed in an individual capacity.,Three members.,"(a) By the Council of the League of Nations, two members being proposed by the Financial Committee and one by Mr. John D. Rockefeller, Junior, or, failing him, by the Financial Committee. (b) For an indefinite period.",,,,,,
p. 19,C-I-AT,Administrative Tribunal,committee,,I,,,Part I: Committees or Organs Concerned with the Functioning of the League itself,,"Assembly Resolution dated September 26th, 1927, determining the Statute of the Administrative Tribunal.","""... to hear complaints alleging non-observance, in substance or in form, of the terms of appointment of officials of the Secretariat or of the International Labour Office, and of such provisions of the Staff Regulations as are applicable to the case"" (Article II, paragraph 1). ""... to settle any dispute concerning the compensation provided for by Articles 39 or 70 of the Staff Regulations of the Secretariat or Articles 446 is or 19 ter of the Staff Regulations of the International Labour Office ..."" (Article II, paragraph 2).","The members of the Tribunal are judges, and are therefore appointed in an individual capacity.",Three regular judges. Three deputy judges.,a) By the Council of the League of Nations. (b) For three years.,,,,,,
p. 20,C-II-PC,"The Permanent Central Opium Board provided for by Article 19 of the Geneva Convention of February 19th, 1925",committee,,II,,,Part II: Committees set up under International Conventions,,"Under Article 19 of the Geneva Opium Convention of February 19th, 1925.","To exercise certain powers conferred upon it by: (a) The above-mentioned Convention of 1925 (Articles 21, 22, 23, 24, 26 and 27); b) The Convention of July 13th, 1931, for limiting the Manufacture and regulating the Distribution of Narcotic Drugs (Articles 2, 5 and 14).",Composed of members appointed in an individual capacity.,Eight members.,(a) By the Council (with the participation of States not members of the League of Nations). Candidates nominated by the Parties to the Conventions. (b) For five years.,,,,,,
