person_id,family_name,given_names,appointed_by,gender,description
WEC1927_P0001,Smit,Jacobus Stephanus,South Africa,male,High Commissioner for the Union of South Africa in London
WEC1927_P0002,de Kock,Dr. Michiel Hendrik,South Africa,male,Member of the Board of Trade and Industries
WEC1927_P0003,Libohova,Malik,Albania,male,Chargé d'Affaires d'Albanie a Paris
WEC1927_P0004,Eggert,Wilhelm,Germany,male,Membre du Bureau de la Confédération générale des syndicats allemands
WEC1927_P0005,Hermes,Dr. Andreas,Germany,male,"Ancien Ministre du Reich, membre de la Commission internationale d'agriculture"
WEC1927_P0006,Lammers,Clemens,Germany,male,"Membre du Reichstag, Président de la Commission d'enquête allemande, membre du Comité de Direction du Reichsverband de l'Industrie allemande"
WEC1927_P0007,von Siemens,Carl Friedrich,Germany,male,"Ingénieur, Président du Conseil économique du Reich, Président du Conseil d'administration de la Société allemande des Chemins de fef"
WEC1927_P0008,Trendelenburg,Dr. Ernst,Germany,male,Secrétaire d'Etat au Ministère de l'Economie nationale
WEC1927_P0009,Roechling,Hermann,Germany,male,
WEC1927_P0010,Keiser,,Germany,male,Oekonomierat
WEC1927_P0011,Keyserlingk,,Germany,male,"Cammerau, Silesia"
WEC1927_P0012,Sering,Dr. Max,Germany,male,"Conseiller secret, Professeur à l'Université de Berlin"
WEC1927_P0013,Baltrusch,Friedrich,Germany,male,
WEC1927_P0014,Dauch,Walter,Germany,male,Député au Reichstag
WEC1927_P0015,Aschmann,,Germany,male,Consul général
WEC1927_P0016,Behrens,B.,Germany,male,Député au Reichstag
WEC1927_P0017,Baade,Dr.,Germany,male,
WEC1927_P0018,Gennes,,Germany,male,Ancien Conseiller du Gouvernement
WEC1927_P0019,Kaufmann,,Germany,male,Directeur des Coopératives
WEC1927_P0020,Kissler,,Germany,male,Conseiller secret
WEC1927_P0021,Lang,Prof.,Germany,male,
WEC1927_P0022,Lange,Karl,Germany,male,
WEC1927_P0023,Lemmer,Dr.,Germany,male,Député au Reichstag
WEC1927_P0024,Wolff,,Germany,male,Conseiller secret
WEC1927_P0025,Gordon,David,Australia,male,Director North Broken Hill Ltd; Broken Hill South Ltd; Broken Hill Associated Smelters Proprietary; Adelaide Electric Supply Co Ltd; Member of the Legislative Council of South Australia
WEC1927_P0026,Kerr,William Warren,Australia,male,Managing Director Richardson Kerr Proprietary Ltd Melbourne (Insurance Brokers); Commissioner of the State Savings Bank of Victoria
WEC1927_P0027,Heinl,Edouard,Austria,male,"Ancien Ministre fédéral du Commerce, Député"
WEC1927_P0028,Riedl,Richard,Austria,male,Ancien Envoyé extraordinaire et Ministre plénipotentiaire
WEC1927_P0029,Freundlich,Emmi,Austria,female,"Conseiller national, Présidente de la Ligue internationale des coopératrices"
WEC1927_P0030,Schueller,Dr. Richard,Austria,male,Chef de Section à la Chancellerie fédérale
WEC1927_P0031,Breza,Dr. Robert,Austria,male,"Conseiller ministériel en retraite. Chef de bureau de la Chambre de commerce, des métiers et de l'industrie, à Vienne"
WEC1927_P0032,Brichta,Dr. Rodolphe,Austria,male,Secrétaire de l'Association des commerçants de Vienne
WEC1927_P0033,Colloredo-Mannsfeld,Rodolphe,Austria,male,"Propriétaire foncier, membre de la Chambre d'agriculture de Basse-Autriche"
WEC1927_P0034,Hietel,Dr. Francois,Austria,male,"Conseiller économique, Conseiller de la Chambre d'Agriculture de Basse-Autriche"
