membership_id,person_id,body_id,role,role_label,notes
M000001,WEC1927_P0284,COM_I,chair,Chairman,
M000002,WEC1927_P0452,COM_I,vice_chair,Vice-Chairman,
M000003,WEC1927_P0366,COM_I,vice_chair,Vice-Chairman,
M000004,WEC1927_P0136,COM_I,rapporteur,Rapporteur,
M000005,WEC1927_P0038,COM_I,rapporteur,Rapporteur,
M000006,WEC1927_P0386,COM_II,chair,Chairman,
M000007,WEC1927_P0337,COM_II,vice_chair,Vice-Chairman,
M000008,WEC1927_P0090,COM_II,vice_chair,Vice-Chairman,
M000009,WEC1927_P0076,COM_II,vice_chair,Vice-Chairman,
M000010,WEC1927_P0234,COM_II,rapporteur,Rapporteur,
M000011,WEC1927_P0162,COM_II,rapporteur,Rapporteur,
M000012,WEC1927_P0348,COM_III,chair,Chairman,
M000013,WEC1927_P0223,COM_III,vice_chair,Vice-Chairman,
M000014,WEC1927_P0209,COM_III,vice_chair,Vice-Chairman,
M000015,WEC1927_P0005,COM_III,rapporteur,Rapporteur,
M000016,WEC1927_P0376,COM_III,rapporteur,Rapporteur,
M000017,WEC1927_P0001,WEC,delegate,Delegate,
M000018,WEC1927_P0002,WEC,delegate,Delegate,
M000019,WEC1927_P0003,WEC,delegate,Delegate,
M000020,WEC1927_P0004,WEC,delegate,Delegate,
M000021,WEC1927_P0005,WEC,delegate,Delegate,
M000022,WEC1927_P0006,WEC,delegate,Delegate,
M000023,WEC1927_P0007,WEC,vice_president,Vice-President of the Conference,
M000024,WEC1927_P0008,WEC,delegate,Delegate,
M000025,WEC1927_P0009,WEC,delegate,Delegate,
M000026,WEC1927_P0010,WEC,delegate,Delegate,
M000027,WEC1927_P0011,WEC,delegate,Delegate,
M000028,WEC1927_P0012,WEC,delegate,Delegate,
M000029,WEC1927_P0013,WEC,delegate,Delegate,
M000030,WEC1927_P0014,WEC,delegate,Delegate,
M000031,WEC1927_P0015,WEC,delegate,Delegate,
M000032,WEC1927_P0016,WEC,delegate,Delegate,
M000033,WEC1927_P0017,WEC,delegate,Delegate,
M000034,WEC1927_P0018,WEC,delegate,Delegate,
M000035,WEC1927_P0019,WEC,delegate,Delegate,
M000036,WEC1927_P0020,WEC,delegate,Delegate,
M000037,WEC1927_P0021,WEC,delegate,Delegate,
M000038,WEC1927_P0022,WEC,delegate,Delegate,
M000039,WEC1927_P0023,WEC,delegate,Delegate,
M000040,WEC1927_P0024,WEC,delegate,Delegate,
M000041,WEC1927_P0025,WEC,delegate,Delegate,
M000042,WEC1927_P0026,WEC,delegate,Delegate,
M000043,WEC1927_P0027,WEC,delegate,Delegate,
M000044,WEC1927_P0028,WEC,delegate,Delegate,
M000045,WEC1927_P0029,WEC,vice_president,Vice-President of the Conference,
M000046,WEC1927_P0030,WEC,delegate,Delegate,
M000047,WEC1927_P0031,WEC,delegate,Delegate,
M000048,WEC1927_P0032,WEC,delegate,Delegate,
M000049,WEC1927_P0033,WEC,delegate,Delegate,
M000050,WEC1927_P0034,WEC,delegate,Delegate,
M000051,WEC1927_P0035,WEC,delegate,Delegate,
M000052,WEC1927_P0036,WEC,delegate,Delegate,
M000053,WEC1927_P0037,WEC,delegate,Delegate,
M000054,WEC1927_P0038,WEC,delegate,Delegate,
M000055,WEC1927_P0039,WEC,delegate,Delegate,
M000056,WEC1927_P0040,WEC,delegate,Delegate,
M000057,WEC1927_P0041,WEC,delegate,Delegate,
M000058,WEC1927_P0042,WEC,delegate,Delegate,
M000059,WEC1927_P0043,WEC,delegate,Delegate,
M000060,WEC1927_P0044,WEC,delegate,Delegate,
M000061,WEC1927_P0045,WEC,delegate,Delegate,
