author,year,publication,url,concept 
"Selchow, S.",2025,"'International Economic Thinkers-Profile: Ester Boserup', ECOINT IET Profile #12",https://www.ecoint.org/post/profile-of-ester-boserup-1910-1999,other
"Selchow, S.",2020,"Starting somewhere different: methodological cosmopolitanism and the study of world politics. Global Networks, 20(3), 544–563",https://doi.org/10.1111/glob.12262,global risk
"Blok, A. & Selchow, S.",2020,"Introduction: methodological cosmopolitanism across the socio-cultural sciences. Global Networks, 20(3), 489–499",https://doi.org/10.1111/glob.12292,global risk
"Selchow, S.",2016,"The Paths not (Yet) Taken: Ulrich Beck, the ‘Cosmopolitised World’ and Security Studies. Security Dialogue, 47(5), 369–385",https://doi.org/10.1177/0967010616647859,global risk
"Selchow, S.",2015,"Imagining a Cosmopolitized Europe: From the Study of the ‘New’ to the Discovery of the ‘Unexpected’. In: Klein & Tamcke (eds), Imagining Europe. Göttingen UP",,global risk
"Selchow, S.",2014,"Security Policy and (Global) Risk(s). In: Kaldor & Rangelov (eds), Handbook of Global Security Policy. Palgrave",,global risk
"Blok, A. & Selchow, S.",2017,"Risk Society. In: Turner et al (eds), Encyclopedia of Social Theory. Wiley Blackwell",,global risk
"Selchow, S.",2018,"Breaking the shackles of the national mindset in a polarised world. The Conversation, 30 March",https://theconversation.com/breaking-the-shackles-of-the-national-mindset-in-a-polarised-world-90009,global risk
"Selchow, S.",2014,"Die Apokalypse duldet keinen Sachzwang: Interview with Ulrich Beck and Bruno Latour. FAZ, 15 May",https://www.faz.net/aktuell/feuilleton/debatten/ulrich-beck-und-bruno-latour-zur-klimakatastrophe-12939499.html,global risk
"Loughnan, A. & Selchow, S.",2013,"Preventive Detention Beyond the Law: The Need to Ask Socio-Political Questions. In: Keyzer (ed), Preventive Detention: Asking the Fundamental Questions, Intersentia, 261-285",,global risk
"Selchow, S.",2013,"An Interplay of Traditions: The ‘Return of Uncertainty’ and its Taming in Post-9/11 US Security Thinking. In: Bevir et al (eds), Interpreting Global Security. Routledge",,global risk
"Selchow, S.",2025,"Review: Children of a Modest Star. H-Diplo, 21 February",https://networks.h-net.org/group/discussions/20059682/h-diplo-roundtable-xxvi-24-blake-and-gilman-children-modest-star,planetary
"Selchow, S.",2023,"Política planetaria. Revista CIDOB, No. 134",https://www.jstor.org/stable/27260885,planetary
"Sluga, G., Huf, B. & Selchow, S.",2022,"Business and the PlanetaryPlanetary History of International Environmental Governance in the 1970s. Contemporary European History, 31(4), 553–569",https://doi.org/10.1017/S0960777322000546,planetary
"Selchow, S. & Kaldor, M.",2022,"Planetary politics: reviving the spirit of the concept 'global civil society' In: Hoelscher et al (eds), Civil society: concepts, challenges, contexts. Springer",https://hdl.handle.net/1814/74591,planetary
"Selchow, S.",2021,Planetary disasters : moving the UN disaster risk reduction framework into cosmopolitised reality. Environmental Politics. 31(1): 28-48,https://doi.org/10.1080/09644016.2020.1868819,planetary
"Kaldor, M. & Rangelov, I. & Selchow, S.",2018,EU Global Strategy and Human Security. Routledge,https://doi.org/10.4324/9781315104232,human security
"Selchow, S.",2018,"Assessing Mogherini's 'The European Union in a Changing Global Environment' from within a 'reflexive modern' world' in: Kaldor, M & Selchow, S. (eds). EU Global Strategy and Human Security. Routledge",https://doi.org/10.4324/9781315104232,
"Selchow, S.",2016,"Mogherini's The European Union in a changing global environment: a discursive space to rethink the world. openDemocracy, 23 May",https://www.opendemocracy.net/en/can-europe-make-it/mogherini-s-european-union-in-changing-global-environment-discursi/,human security
"Selchow, S.",2016,"The construction of ""European security"" in 'The European Union in a changing global environment': a systematic analysis. European Security, 25(3), 281–303",https://doi.org/10.1080/09662839.2016.1199547,human security
"Selchow, S. & Kaldor, M.",2015,"From Military to 'Security Interventions': An Alternative Approach to Contemporary Interventions. Stability: International Journal of Security & Development, 2015, 4(1)",https://doi.org/10.5334/sta.fw,human security
"Selchow, S. et al.",2007,"Human Security: A New Strategic Narrative for Europe. International Affairs, 83(2)",https://www.jstor.org/stable/4541698,human security
"Selchow, S.",2020,"The Politics of the Adjective Global', in: Rossi, Ino (ed). Challenges of Globalization and Prospects for an Inter-civilizational World Order. Berlin: Springer",,human security
"Selchow, S.",2017,Negotiations of the »New World«. Bielefeld: Transcript,https://www.jstor.org/stable/j.ctv1fxgzg,global
"Otto, I. et al.",2015,"Socio-economic data for global environmental change research. Nature, 5, 503–506",https://www.nature.com/articles/nclimate2593,global
"Selchow, S.",2008,"Language and 'Global' Politics: De-Naturalising the 'Global' in: Albrow, M. et al (eds.). Global Civil Society 2007/8: Communicative Power and Democracy. Sage: London, 224-243",,global
"Selchow, S.",2025,"Global Civil Society' in: Anheier, Helmut and Stefan Toepler (eds.) International Encyclopedia of Civil Society. Berlin: Springer; substantive entry (4,000 words)",,global civil society
"Selchow, S. & Kaldor, M.",2015,Subterranean Politics in Europe. Palgrave,https://link.springer.com/book/10.1057/9781137441478,global civil society
"Selchow, S. et al.",2012,Global Civil Society 2012: Ten Years of Critical Reflection. London: Palgrave Macmillan,https://link.springer.com/book/10.1057/9780230369436,global civil society
"Selchow, S.",2013,"The 'Bubbling Up' of Subterranean Politics in Europe. Journal of Civil Society, 9(1), 78-99",https://doi.org/10.1080/17448689.2013.784501,global civil society
"Selchow, S.",2012,"Global Civil Society and the Internet 2012: Time to Update our Perspective' in: Kaldor, Mary, Henrietta L. Moore and Sabine Selchow (eds). Global Civil Society 2012: Ten Years of Critical Reflection. London: Palgrave Macmillan, 2012, 28-40",https://doi.org/10.1080/17448689.2013.784501,global civil society
"Selchow, S.",2012,"Globalisation and the Study of Global Politics from Below: Preparing the Ground for an Alternative Approach' in: Kostovicova, Denisa and Marlies Glasius (eds). Bottom-up Politics: An Agency-Centered Approach to Globalisation. London: Palgrave Macmillan, 203-215",,global civil society
"Selchow, S.",2012,"Civil Society in the EU: future scenarios for 2030', expert commentary, European Economic and Social Committee (EESC), 2018",,global civil society
"Selchow, S.",2012,"Subterranean Politics in Europe. openDemocracy, 12 October",https://www.opendemocracy.net/en/subterranean-politics-in-europe-introduction/,global civil society
"Selchow, S.",2012,"Thinking about politics and the internet: time to update our perspective. openDemocracy, 2 May",https://www.opendemocracy.net/en/thinking-about-politics-and-internet-time-to-update-our-perspective/,global civil society
"Selchow, S.",2025,"Multinational Corporations in World Development (1973): Network of UN Resolutions', EUI, HEC, Research Data",https://hdl.handle.net/1814/78007,global corporations
"Selchow, S.",2024,"US Multinationals: R&D expenditure in manufacturing (1966)', interactive data visualisation on Tableau Public",https://public.tableau.com/app/profile/sabine.selchow/viz/USMNCsRD/Dashboard2,global corporations
"Selchow, S.",2024,"Which UN resolutions does the UN DESA Report 'Multinational Corporations in World Development' (1973) reference?', interactive data visualisation on Tableau Public",https://public.tableau.com/app/profile/sabine.selchow/viz/WhichUNresolutionsdoestheUNDESAReportMultinationalCorporationsinWorldDevelopment1973reference/Sheet1,global corporations
"Selchow, S.",2024,"Foreign Direct Investment (1914-1978)', interactive data visualisation on Tableau Public",https://public.tableau.com/app/profile/sabine.selchow/viz/FDI_1914-1978_neu/Dashboard1,global corporations
"Selchow, S.",2023,"The UN economic and social council's initiative on multinational corporations (1972-1974): a Primer', EUI, HEC, ECOINT, Primer",https://hdl.handle.net/1814/78028,global corporations
"Selchow, S.",2025,"The Language of the World Development Reports, 1978–2021. EUI",https://hdl.handle.net/1814/77795,other
"Sluga, G. & Selchow, S.",2024,"Development, international organizations and international economic thinking: a conceptual contribution' International Organizations and Global Development, edited by Nicholas Ferns and Angela Villani, Berlin, Boston: De Gruyter Oldenbourg, 2024, pp. 23-42.",https://doi.org/10.1515/9783111280356-002,other
"Selchow, S.",2024,"Natural resources used in 6 Western European countries, 1937-1982', interactive data visualisation on Tableau Public",https://public.tableau.com/app/profile/sabine.selchow/viz/Typesofresourcesusedin6WesternEuropeanCountries1937-1982/Dashboard1,other
"Selchow, S.",2024,"Meetings of the Group of 77 (1963-1980)', interactive data visualisation on Tableau Public",https://public.tableau.com/app/profile/sabine.selchow/viz/G77_1963-1980/Dashboard1,other
"Selchow, S.",2024,"Women authors in the International Labour Review (1921-1945)', interactive data visualisation on Tableau Public",https://public.tableau.com/app/profile/sabine.selchow/viz/WomenauthorsintheInternationalLabourReview/ILRStory,other
"Selchow, S.",2022,"From ""economic and social questions"" to national containers and two notions of 'political': a systematic analysis of the symbolic construction of 'economic problems' in the LoN's Bruce Report (1939)' EUI Working Paper 2022/07.",http://hdl.handle.net/1814/75130,other
"Selchow, S.",2015,"The Drones of Others: An Insight into the Imagination of UAVs in Germany' Behemoth: A Journal on Social Dis/Order, 2015, 8(2): 55-72",https://freidok.uni-freiburg.de/data/10448,other
"Selchow, S. & Kaldor, M.",2015,"Ulrich Beck obituary', The Guardian, 6 January",https://www.theguardian.com/education/2015/jan/06/ulrich-beck,other
